,hgr_id,searched_name,fuzzy,gname_name,gname_adminCode1,gname_adminName1,gname_countryCode,gname_countryId,gname_countryName,gname_fcl,gname_fclName,gname_fcode,gname_fcodeName,gname_geonameId,gname_lat,gname_lng,gname_population,gname_toponymName,north_bound,south_bound,east_bound,west_bound,url
1096,380,Лимань,1.0,Chervonyy Lyman,07,Kharkiv,UA,690791,Ukraine,P,"city, village,...",PPL,populated place,704203.0,49.11222,36.80778,0.0,Chervonyy Lyman,51.5689,48.4869,38.2875,33.5563,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=38.2875&name=%D0%9B%D0%B8%D0%BC%D0%B0%D0%BD%D1%8C&south=48.4869&north=51.5689&west=33.5563&fuzzy=1
1097,380,Лимань,1.0,Novyy Lyman,07,Kharkiv,UA,690791,Ukraine,P,"city, village,...",PPL,populated place,811168.0,49.68883,37.01013,0.0,Novyy Lyman,51.5689,48.4869,38.2875,33.5563,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=38.2875&name=%D0%9B%D0%B8%D0%BC%D0%B0%D0%BD%D1%8C&south=48.4869&north=51.5689&west=33.5563&fuzzy=1
1098,380,Лимань,1.0,Liman Pervyy,18,Poltava,UA,690791,Ukraine,P,"city, village,...",PPL,populated place,703064.0,49.46012,34.12335,0.0,Liman Pervyy,51.5689,48.4869,38.2875,33.5563,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=38.2875&name=%D0%9B%D0%B8%D0%BC%D0%B0%D0%BD%D1%8C&south=48.4869&north=51.5689&west=33.5563&fuzzy=1
1099,380,Лимань,1.0,Lyman,07,Kharkiv,UA,690791,Ukraine,P,"city, village,...",PPL,populated place,808842.0,49.00386,36.60026,0.0,Lyman,51.5689,48.4869,38.2875,33.5563,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=38.2875&name=%D0%9B%D0%B8%D0%BC%D0%B0%D0%BD%D1%8C&south=48.4869&north=51.5689&west=33.5563&fuzzy=1
1100,380,Лимань,1.0,Zhovtneve,07,Kharkiv,UA,690791,Ukraine,P,"city, village,...",PPL,populated place,687068.0,50.24281,36.90385,0.0,Zhovtneve,51.5689,48.4869,38.2875,33.5563,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=38.2875&name=%D0%9B%D0%B8%D0%BC%D0%B0%D0%BD%D1%8C&south=48.4869&north=51.5689&west=33.5563&fuzzy=1
1101,380,Лимань,1.0,Krasna Hipka,07,Kharkiv,UA,690791,Ukraine,P,"city, village,...",PPL,populated place,808495.0,49.02222,36.05861,0.0,Krasna Hipka,51.5689,48.4869,38.2875,33.5563,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=38.2875&name=%D0%9B%D0%B8%D0%BC%D0%B0%D0%BD%D1%8C&south=48.4869&north=51.5689&west=33.5563&fuzzy=1
1102,358,Крюков,1.0,,,,,,,,,,,,,,,,49.99,46.07,39.14,29.6,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=39.14&name=%D0%9A%D1%80%D1%8E%D0%BA%D0%BE%D0%B2&south=46.07&north=49.99&west=29.6&fuzzy=1
1103,358,Крюково,1.0,,,,,,,,,,,,,,,,49.99,46.07,39.14,29.6,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=39.14&name=%D0%9A%D1%80%D1%8E%D0%BA%D0%BE%D0%B2%D0%BE&south=46.07&north=49.99&west=29.6&fuzzy=1
1104,358,Крюков,0.9,,,,,,,,,,,,,,,,49.99,46.07,39.14,29.6,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=39.14&name=%D0%9A%D1%80%D1%8E%D0%BA%D0%BE%D0%B2&south=46.07&north=49.99&west=29.6&fuzzy=0.9
1105,585,Ропск,1.0,,,,,,,,,,,,,,,,55.983333,47.983333,29.266666999999998,37.266667,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=29.266666999999998&name=%D0%A0%D0%BE%D0%BF%D1%81%D0%BA&south=47.983333&north=55.983333&west=37.266667&fuzzy=1
1106,585,Роп,1.0,Röthenbach an der Pegnitz,02,Bavaria,DE,2921044,Germany,P,"city, village,...",PPL,populated place,2844126.0,49.48301,11.24116,12224.0,Röthenbach an der Pegnitz,55.983333,47.983333,29.266666999999998,37.266667,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=29.266666999999998&name=%D0%A0%D0%BE%D0%BF&south=47.983333&north=55.983333&west=37.266667&fuzzy=1
1107,135,Вышгород,1.0,,,,,,,,,,,,,,,,58.1881,55.7163,32.5005,27.2902,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=32.5005&name=%D0%92%D1%8B%D1%88%D0%B3%D0%BE%D1%80%D0%BE%D0%B4&south=55.7163&north=58.1881&west=27.2902&fuzzy=1
1108,135,Вышгород,0.9,,,,,,,,,,,,,,,,58.1881,55.7163,32.5005,27.2902,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=32.5005&name=%D0%92%D1%8B%D1%88%D0%B3%D0%BE%D1%80%D0%BE%D0%B4&south=55.7163&north=58.1881&west=27.2902&fuzzy=0.9
1109,600,Савиницы,1.0,,,,,,,,,,,,,,,,51.5689,48.4869,38.2875,33.5563,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=38.2875&name=%D0%A1%D0%B0%D0%B2%D0%B8%D0%BD%D0%B8%D1%86%D1%8B&south=48.4869&north=51.5689&west=33.5563&fuzzy=1
1110,600,Савиницы,0.9,,,,,,,,,,,,,,,,51.5689,48.4869,38.2875,33.5563,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=38.2875&name=%D0%A1%D0%B0%D0%B2%D0%B8%D0%BD%D0%B8%D1%86%D1%8B&south=48.4869&north=51.5689&west=33.5563&fuzzy=0.9
1111,577,Ржица,1.0,,,,,,,,,,,,,,,,51.49413,49.08008,34.35625,29.72503,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=34.35625&name=%D0%A0%D0%B6%D0%B8%D1%86%D0%B0&south=49.08008&north=51.49413&west=29.72503&fuzzy=1
1112,577,Ржица,0.9,,,,,,,,,,,,,,,,51.49413,49.08008,34.35625,29.72503,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=34.35625&name=%D0%A0%D0%B6%D0%B8%D1%86%D0%B0&south=49.08008&north=51.49413&west=29.72503&fuzzy=0.9
1113,677,Тарнянской,1.0,,,,,,,,,,,,,,,,90.0,-90.0,180.0,-180.0,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=180&name=%D0%A2%D0%B0%D1%80%D0%BD%D1%8F%D0%BD%D1%81%D0%BA%D0%BE%D0%B9&south=-90&north=90&west=-180&fuzzy=1
1114,677,Тарнянский,1.0,,,,,,,,,,,,,,,,90.0,-90.0,180.0,-180.0,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=180&name=%D0%A2%D0%B0%D1%80%D0%BD%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&south=-90&north=90&west=-180&fuzzy=1
1115,677,Тарнянской,0.9,,,,,,,,,,,,,,,,90.0,-90.0,180.0,-180.0,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=180&name=%D0%A2%D0%B0%D1%80%D0%BD%D1%8F%D0%BD%D1%81%D0%BA%D0%BE%D0%B9&south=-90&north=90&west=-180&fuzzy=0.9
1116,700,Троицкая Сергиева,1.0,,,,,,,,,,,,,,,,56.981,54.2132,40.3419,34.3446,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=40.3419&name=%D0%A2%D1%80%D0%BE%D0%B8%D1%86%D0%BA%D0%B0%D1%8F+%D0%A1%D0%B5%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%B0&south=54.2132&north=56.981&west=34.3446&fuzzy=1
1117,700,Троицкая Сергиева,0.9,,,,,,,,,,,,,,,,56.981,54.2132,40.3419,34.3446,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=40.3419&name=%D0%A2%D1%80%D0%BE%D0%B8%D1%86%D0%BA%D0%B0%D1%8F+%D0%A1%D0%B5%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%B0&south=54.2132&north=56.981&west=34.3446&fuzzy=0.9
1118,517,Перевицкой Торжок,1.0,,,,,,,,,,,,,,,,55.9254,53.0517,41.6952,38.154,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=41.6952&name=%D0%9F%D0%B5%D1%80%D0%B5%D0%B2%D0%B8%D1%86%D0%BA%D0%BE%D0%B9+%D0%A2%D0%BE%D1%80%D0%B6%D0%BE%D0%BA&south=53.0517&north=55.9254&west=38.154&fuzzy=1
1119,517,Перевицкий Торжок,1.0,,,,,,,,,,,,,,,,55.9254,53.0517,41.6952,38.154,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=41.6952&name=%D0%9F%D0%B5%D1%80%D0%B5%D0%B2%D0%B8%D1%86%D0%BA%D0%B8%D0%B9+%D0%A2%D0%BE%D1%80%D0%B6%D0%BE%D0%BA&south=53.0517&north=55.9254&west=38.154&fuzzy=1
1120,517,Перевицкой Торжок,0.9,,,,,,,,,,,,,,,,55.9254,53.0517,41.6952,38.154,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=41.6952&name=%D0%9F%D0%B5%D1%80%D0%B5%D0%B2%D0%B8%D1%86%D0%BA%D0%BE%D0%B9+%D0%A2%D0%BE%D1%80%D0%B6%D0%BE%D0%BA&south=53.0517&north=55.9254&west=38.154&fuzzy=0.9
1121,132,Высокое,1.0,Vysokoye,75,Tomsk,RU,2017370,Russia,P,"city, village,...",PPL,populated place,1486607.0,56.60342,86.90959,0.0,Vysokoye,60.857828,52.857828,31.921928,39.921928,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=31.921928&name=%D0%92%D1%8B%D1%81%D0%BE%D0%BA%D0%BE%D0%B5&south=52.857828&north=60.857828&west=39.921928&fuzzy=1
1122,132,Высокое,1.0,Vysokoye,52,Novgorod,RU,2017370,Russia,P,"city, village,...",PPL,populated place,470025.0,57.04532,30.87474,0.0,Vysokoye,60.857828,52.857828,31.921928,39.921928,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=31.921928&name=%D0%92%D1%8B%D1%81%D0%BE%D0%BA%D0%BE%D0%B5&south=52.857828&north=60.857828&west=39.921928&fuzzy=1
1123,132,Высокое,1.0,Vysokoye,37,Kostroma,RU,2017370,Russia,P,"city, village,...",PPL,populated place,827318.0,58.78466,46.93924,0.0,Vysokoye,60.857828,52.857828,31.921928,39.921928,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=31.921928&name=%D0%92%D1%8B%D1%81%D0%BE%D0%BA%D0%BE%D0%B5&south=52.857828&north=60.857828&west=39.921928&fuzzy=1
1124,132,Высокое,1.0,Vysokoye,52,Novgorod,RU,2017370,Russia,P,"city, village,...",PPL,populated place,470023.0,57.23117,30.95987,0.0,Vysokoye,60.857828,52.857828,31.921928,39.921928,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=31.921928&name=%D0%92%D1%8B%D1%81%D0%BE%D0%BA%D0%BE%D0%B5&south=52.857828&north=60.857828&west=39.921928&fuzzy=1
1125,132,Высокое,1.0,Vysokoye,52,Novgorod,RU,2017370,Russia,P,"city, village,...",PPL,populated place,7609450.0,57.0976,31.5063,0.0,Vysokoye,60.857828,52.857828,31.921928,39.921928,http://api.geonames.org/search?type=json&username=jaguillette&featureClass=P&east=31.921928&name=%D0%92%D1%8B%D1%81%D0%BE%D0%BA%D0%BE%D0%B5&south=52.857828&north=60.857828&west=39.921928&fuzzy=1
