uniq_id,ru_old_orth,partof_id,x_coord,y_coord,lc_trans,ru_new_orth,ru_uezd,ru_prov,beg_yr,end_yr,lc_featuretype,ru_featuretype,id_featuretype,en_featuretype,SOURCE,description,xy_type,Unnamed: 18,Unnamed: 19,pres_loc,pres_country,country_code,notes,partof_name
36,Уфимск,,55.966667,54.733332999999995,Ufimsk,Уфимск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Ufa, Bashkortostan",Russia,RU,,
37,Харьковск,,36.229167,50.0,Khar'kovsk,Харьковск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Kharkiv, Kharkiv Oblast",Ukraine,UA,,
38,Черниговск,,31.3,51.5,Chernigovsk,Черниговск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Chernihiv, Chernihivs'ka oblast",Ukraine,UA,,
39,Ярославск,,39.85,57.61666700000001,Iaroslavsk,Ярославск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Yaroslavl, Yaroslavl Oblast",Russia,RU,,
40,Алатырьскомъ,30.0,46.5813,54.8421,,Алатырьском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match",Синбирск
41,Алексина,35.0,37.0674,54.505030000000005,,Алексина,,,17--,17--,,уезде,,,,,POINT,,,,,,,Тульск
42,Арзамаскомъ,17.0,43.83992,55.39485,,Арзамаском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Search with name ""Арзамас"" on GeoNames",Нижегородск
43,Арсамазскомъ,17.0,,,,Арсамазском,,,17--,17--,,уезде,,,,,POINT,,,,,,"No results in Google, possibly typo in source?",Нижегородск
44,Ахтырки,37.0,34.898790000000005,50.310359999999996,,Ахтырки,,,17--,17--,,уезде,,,,,POINT,,,,,,"Search with name ""Ахтырка"" on GeoNames, selected seat of administrative region in correct oblast",Харьковск
45,Бабиновецкомъ,16.0,30.5725,54.8351,,Бабиновецком,,,17--,17--,,уезде,,,,,POINT,,,,,,"Search with name ""Бабиновичи"" on GeoNames, selected town that matched 1792 map position",Могилевск
46,Бѣжецка,33.0,36.696509999999996,57.785059999999994,,Бежецка,,,17--,17--,,уезде,,,,,POINT,,,,,,,Тверск
47,Бѣлевскомъ,35.0,36.13194,53.81194,,Белевском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Тульск
48,Бѣлицкомъ,16.0,30.4122,52.9395,,Белицком,,,17--,17--,,уезде,,,,,POINT,,,,,,,Могилевск
49,Бѣлогородскомъ,15.0,38.51663,54.37445,,Белогородском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Курскаго
50,Бѣлогородскомъ,37.0,,,,Белогородском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Name doesn't appear on 1792 map, possible text error? Text definitely indicates Belogorod in Kharkov Namiestnichestva",Харьковск
51,Бѣлозерскомъ,18.0,37.8084,60.0288,,Белозерском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Новогородск
52,Валуекъ,5.0,38.1067,50.2035,,Валуек,,,17--,17--,,уезде,,,,,POINT,,,,,,,Воронежск
53,Великолуцкомъ,25.0,30.545170000000002,56.34,,Великолуцком,,,17--,17--,,уезде,,,,,POINT,,,,,,"Search for ""Великие Луки"" in GeoNames, selected highest population, confirmed with 1792 map",Псковск
54,Веневскомъ,35.0,38.26843,54.35533,,Веневском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match",Тульск
55,Верейскомъ,1.0,36.17194,55.344719999999995,,Верейском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Московской
56,Верхнеудивска,9.0,107.6,51.833333,,Верхнеудивска,,,17--,17--,,уезде,,,,,POINT,,,,,,"Reflects name change, change and coordinates from https://en.wikipedia.org/wiki/Ulan-Ude",Иркутскъ
57,Вологодскаго,4.0,39.88398,59.2239,,Вологодского,,,17--,17--,,уезде,,,,,POINT,,,,,,"Searched for ""Вологда"" in GeoNames, selected administrative seat",Вологодск
58,Волоколамскомъ,1.0,35.969440000000006,56.033609999999996,,Волоколамском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match",Московской
59,Выборгскаго,6.0,28.75283,60.70763,,Выборгского,,,17--,17--,,уезде,,,,,POINT,,,,,,,Выборгъ
60,Гадяцкомъ,38.0,33.990990000000004,50.37112,,Гадяцком,,,17--,17--,,уезде,,,,,POINT,,,,,,"Searched for ""Гадяч"" in GeoNames, only one result.",Черниговск
61,Гороховецкомъ,3.0,42.693509999999996,56.201519999999995,,Гороховецком,,,17--,17--,,уезде,,,,,POINT,,,,,,"Searched for ""Гороховец"" in GeoNames, selected result with population value and confirmed on map.",Владимерск
62,Динабурга,24.0,26.53333,55.88333000000001,,Динабурга,,,17--,17--,,уезде,,,,,POINT,,,,,,"Searched for ""Даугавпилс"" in GeoNames. New name was used, found old name here: https://ru.wikipedia.org/wiki/Даугавпилс",Полотск
63,Дмитровскомъ,1.0,37.52041,56.34485,,Дмитровском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Московской
64,Донковскомъ,28.0,39.15553,53.25155,,Донковском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Searched for ""Данков"" in Geonames, selected result with highest population, confirmed with 1792 map",Рязанск
65,Екатеринославскаго,8.0,34.98333,48.45,,Екатеринославского,,,17--,17--,,уезде,,,,,POINT,,,,,,,Екатеринославск
66,Елецкомъ,21.0,38.50169,52.62366,,Елецком,,,17--,17--,,уезде,,,,,POINT,,,,,,"Searched for ""Елец"" in Geonames, selected the one in Lipetsk Oblast",Орловск
67,Епифанскомъ,35.0,38.551809999999996,53.82526,,Епифанском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Тульск
68,Зарайскомъ,28.0,38.878409999999995,54.7605,,Зарайском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Searched for ""Зарайск"" in GeoNames, only one result.",Рязанск
69,Звенигородскомъ,1.0,36.85918,55.734019999999994,,Звенигородском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Московской
70,Зубцова,33.0,34.58935,56.175340000000006,,Зубцова,,,17--,17--,,уезде,,,,,POINT,,,,,,,Тверск
71,Изюма,37.0,37.24848,49.20875,,Изюма,,,17--,17--,,уезде,,,,,POINT,,,,,,,Харьковск
72,Изюмовскомъ,37.0,37.248490000000004,49.20875,,Изюмовском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Searched for ""Изюм"" in GeoNames, only one result.",Харьковск
73,Касимовскомъ,28.0,41.39528,54.941109999999995,,Касимовском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Searched for ""Касимов"" in GeoNames, verified high population result with 1792 map",Рязанск
74,Кашинскомъ,33.0,37.608059999999995,57.35917,,Кашинском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Тверск
75,Каширскомъ,35.0,38.166940000000004,54.844440000000006,,Каширском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Тульск
76,Керенскомъ,22.0,43.05744,53.69157,,Керенском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Пензенск
77,Кинешмы,14.0,42.12894,57.43914,,Кинешмы,,,17--,17--,,уезде,,,,,POINT,,,,,,"Searched for ""Кинешма"" in Geonames, verified high population result with 1792 map.",Кострома
78,Киренска,9.0,108.11193999999999,57.78528000000001,,Киренска,,,17--,17--,,уезде,,,,,POINT,,,,,,,Иркутскъ
79,Кіевскаго,13.0,30.5238,50.45466,,Киевского,,,17--,17--,,уезде,,,,,POINT,,,,,,,Кіевск
80,Климовицкомъ,16.0,,,,Климовицком,,,17--,17--,,уезде,,,,,POINT,,,,,,,Могилевск
81,Козельскомъ,12.0,35.77159,54.037459999999996,,Козельском,,,17--,17--,,уезде,,,,,POINT,,,,,,,Калужск
82,Козлова,32.0,40.4907,52.8978,,Козлова,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match",Тамбовск
83,Коломенскомъ,1.0,38.77833,55.079440000000005,,Коломенском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Searched for ""Коломна"" in Geonames, verified high population result with 1792 map.",Московской
84,Короченскомъ,15.0,37.18598,50.8132,,Короченском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Searched for ""Короча"" in GeoNames, verified best result with Google maps.",Курскаго
85,Костромскаго,14.0,40.92686,57.76647,,Костромского,,,17--,17--,,уезде,,,,,POINT,,,,,,,Кострома
86,Краснослободска,22.0,43.789629999999995,54.4253,,Краснослободска,,,17--,17--,,уезде,,,,,POINT,,,,,,,Пензенск
87,Курскаго,15.0,36.18735,51.73733,,Курского,,,17--,17--,,уезде,,,,,POINT,,,,,,,Курскаго
88,Лебедяни,32.0,39.16639,53.01942,,Лебедяни,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match",Тамбовск
