uniq_id,ru_old_orth,partof_id,x_coord,y_coord,lc_trans,ru_new_orth,ru_uezd,ru_prov,beg_yr,end_yr,lc_featuretype,ru_featuretype,id_featuretype,en_featuretype,SOURCE,description,xy_type,,,pres_loc,pres_country,country_code,notes
36,Уфимск,,55.966667,54.733333,Ufimsk,Уфимск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Ufa, Bashkortostan",Russia,RU,
37,Харьковск,,36.229167,50,Khar'kovsk,Харьковск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Kharkiv, Kharkiv Oblast",Ukraine,UA,
38,Черниговск,,31.3,51.5,Chernigovsk,Черниговск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Chernihiv, Chernihivs'ka oblast",Ukraine,UA,
39,Ярославск,,39.85,57.616667,Iaroslavsk,Ярославск,,,17--,17--,,Намѣстничества,,,,,POINT,,,"Yaroslavl, Yaroslavl Oblast",Russia,RU,
40,Алатырьскомъ,30,46.5813,54.8421,,Алатырьском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match"
41,Алексина,35,37.0674,54.50503,,Алексина,,,17--,17--,,уезде,,,,,POINT,,,,,,
42,Арзамаскомъ,17,43.83992,55.39485,,Арзамаском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Search with name ""Арзамас"" on GeoNames"
43,Арсамазскомъ,17,,,,Арсамазском,,,17--,17--,,уезде,,,,,POINT,,,,,,"No results in Google, possibly typo in source?"
44,Ахтырки,37,34.89879,50.31036,,Ахтырки,,,17--,17--,,уезде,,,,,POINT,,,,,,"Search with name ""Ахтырка"" on GeoNames, selected seat of administrative region in correct oblast"
45,Бабиновецкомъ,16,30.5725,54.8351,,Бабиновецком,,,17--,17--,,уезде,,,,,POINT,,,,,,"Search with name ""Бабиновичи"" on GeoNames, selected town that matched 1792 map position"
46,Бѣжецка,33,36.69651,57.78506,,Бежецка,,,17--,17--,,уезде,,,,,POINT,,,,,,
47,Бѣлевскомъ,35,36.13194,53.81194,,Белевском,,,17--,17--,,уезде,,,,,POINT,,,,,,
48,Бѣлицкомъ,16,30.4122,52.9395,,Белицком,,,17--,17--,,уезде,,,,,POINT,,,,,,
49,Бѣлогородскомъ,15,38.51663,54.37445,,Белогородском,,,17--,17--,,уезде,,,,,POINT,,,,,,
50,Бѣлогородскомъ,37,,,,Белогородском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Name doesn't appear on 1792 map, possible text error? Text definitely indicates Belogorod in Kharkov Namiestnichestva"
51,Бѣлозерскомъ,18,37.8084,60.0288,,Белозерском,,,17--,17--,,уезде,,,,,POINT,,,,,,
52,Валуекъ,5,38.1067,50.2035,,Валуек,,,17--,17--,,уезде,,,,,POINT,,,,,,
53,Великолуцкомъ,25,30.54517,56.34,,Великолуцком,,,17--,17--,,уезде,,,,,POINT,,,,,,"Search for ""Великие Луки"" in GeoNames, selected highest population, confirmed with 1792 map"
54,Веневскомъ,35,38.26843,54.35533,,Веневском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match"
55,Верейскомъ,1,36.17194,55.34472,,Верейском,,,17--,17--,,уезде,,,,,POINT,,,,,,
56,Верхнеудивска,9,107.6,51.833333,,Верхнеудивска,,,17--,17--,,уезде,,,,,POINT,,,,,,"Reflects name change, change and coordinates from https://en.wikipedia.org/wiki/Ulan-Ude"
57,Вологодскаго,4,39.88398,59.2239,,Вологодского,,,17--,17--,,уезде,,,,,POINT,,,,,,"Searched for ""Вологда"" in GeoNames, selected administrative seat"
58,Волоколамскомъ,1,35.96944,56.03361,,Волоколамском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match"
59,Выборгскаго,6,28.75283,60.70763,,Выборгского,,,17--,17--,,уезде,,,,,POINT,,,,,,
60,Гадяцкомъ,38,33.99099,50.37112,,Гадяцком,,,17--,17--,,уезде,,,,,POINT,,,,,,"Searched for ""Гадяч"" in GeoNames, only one result."
61,Гороховецкомъ,3,42.69351,56.20152,,Гороховецком,,,17--,17--,,уезде,,,,,POINT,,,,,,"Searched for ""Гороховец"" in GeoNames, selected result with population value and confirmed on map."
62,Динабурга,24,26.53333,55.88333,,Динабурга,,,17--,17--,,уезде,,,,,POINT,,,,,,"Searched for ""Даугавпилс"" in GeoNames. New name was used, found old name here: https://ru.wikipedia.org/wiki/Даугавпилс"
63,Дмитровскомъ,1,37.52041,56.34485,,Дмитровском,,,17--,17--,,уезде,,,,,POINT,,,,,,
64,Донковскомъ,28,39.15553,53.25155,,Донковском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Searched for ""Данков"" in Geonames, selected result with highest population, confirmed with 1792 map"
65,Екатеринославскаго,8,34.98333,48.45,,Екатеринославского,,,17--,17--,,уезде,,,,,POINT,,,,,,
66,Елецкомъ,21,38.50169,52.62366,,Елецком,,,17--,17--,,уезде,,,,,POINT,,,,,,"Searched for ""Елец"" in Geonames, selected the one in Lipetsk Oblast"
67,Епифанскомъ,35,38.55181,53.82526,,Епифанском,,,17--,17--,,уезде,,,,,POINT,,,,,,
68,Зарайскомъ,28,38.87841,54.7605,,Зарайском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Searched for ""Зарайск"" in GeoNames, only one result."
69,Звенигородскомъ,1,36.85918,55.73402,,Звенигородском,,,17--,17--,,уезде,,,,,POINT,,,,,,
70,Зубцова,33,34.58935,56.17534,,Зубцова,,,17--,17--,,уезде,,,,,POINT,,,,,,
71,Изюма,37,37.24848,49.20875,,Изюма,,,17--,17--,,уезде,,,,,POINT,,,,,,
72,Изюмовскомъ,37,37.24849,49.20875,,Изюмовском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Searched for ""Изюм"" in GeoNames, only one result."
73,Касимовскомъ,28,41.39528,54.94111,,Касимовском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Searched for ""Касимов"" in GeoNames, verified high population result with 1792 map"
74,Кашинскомъ,33,37.60806,57.35917,,Кашинском,,,17--,17--,,уезде,,,,,POINT,,,,,,
75,Каширскомъ,35,38.16694,54.84444,,Каширском,,,17--,17--,,уезде,,,,,POINT,,,,,,
76,Керенскомъ,22,43.05744,53.69157,,Керенском,,,17--,17--,,уезде,,,,,POINT,,,,,,
77,Кинешмы,14,42.12894,57.43914,,Кинешмы,,,17--,17--,,уезде,,,,,POINT,,,,,,"Searched for ""Кинешма"" in Geonames, verified high population result with 1792 map."
78,Киренска,9,108.11194,57.78528,,Киренска,,,17--,17--,,уезде,,,,,POINT,,,,,,
79,Кіевскаго,13,30.5238,50.45466,,Киевского,,,17--,17--,,уезде,,,,,POINT,,,,,,
80,Климовицкомъ,16,,,,Климовицком,,,17--,17--,,уезде,,,,,POINT,,,,,,
81,Козельскомъ,12,35.77159,54.03746,,Козельском,,,17--,17--,,уезде,,,,,POINT,,,,,,
82,Козлова,32,40.4907,52.8978,,Козлова,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match"
83,Коломенскомъ,1,38.77833,55.07944,,Коломенском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Searched for ""Коломна"" in Geonames, verified high population result with 1792 map."
84,Короченскомъ,15,37.18598,50.8132,,Короченском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Searched for ""Короча"" in GeoNames, verified best result with Google maps."
85,Костромскаго,14,40.92686,57.76647,,Костромского,,,17--,17--,,уезде,,,,,POINT,,,,,,
86,Краснослободска,22,43.78963,54.4253,,Краснослободска,,,17--,17--,,уезде,,,,,POINT,,,,,,
87,Курскаго,15,36.18735,51.73733,,Курского,,,17--,17--,,уезде,,,,,POINT,,,,,,
88,Лебедяни,32,39.16639,53.01942,,Лебедяни,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match"
89,Ливенскомъ,21,,,,Ливенском,,,17--,17--,,уезде,,,,,POINT,,,,,,
90,Лубенскомъ,13,,,,Лубенском,,,17--,17--,,уезде,,,,,POINT,,,,,,
91,Любимскомъ,39,40.68433,58.3625,,Любимском,,,17--,17--,,уезде,,,,,POINT,,,,,,
92,Мезенскомъ,2,44.2542,65.8401,,Мезенском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match"
93,Миргородскомъ,13,33.60886,49.96854,,Миргородском,,,17--,17--,,уезде,,,,,POINT,,,,,,
94,Мирополья,37,35.26233,51.023,,Мирополья,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match"
95,Можайскомъ,1,36.02722,55.50194,,Можайском,,,17--,17--,,уезде,,,,,POINT,,,,,,
96,Мстиславскомъ,16,,,,Мстиславском,,,17--,17--,,уезде,,,,,POINT,,,,,,
97,Наровчатовскомъ,22,,,,Наровчатовском,,,17--,17--,,уезде,,,,,POINT,,,,,,
98,Нижеломовскомъ,22,,,,Нижеломовском,,,17--,17--,,уезде,,,,,POINT,,,,,,
99,Новгородскомъ,,31.27104,58.52131,,Новгородском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match"
100,Новогородскаго,18,31.27104,58.52131,,Новогородского,,,17--,17--,,уезде,,,,,POINT,,,,,,Archaic form of Novgorod
101,Новогородскаго - Сѣверскаго,19,33.266667,51.983333,,Новогородского - Северского,,,17--,17--,,уезде,,,,,POINT,,,"Novhorod-Sivers'kyi, Chernihivs'ka oblast",Ukraine,UA,
102,Новосиля,35,37.04048,52.97387,,Новосиля,,,17--,17--,,уезде,,,,,POINT,,,,,,
103,Нѣжинскомъ,38,31.88688,51.04801,,Нежинском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match"
104,Нѣжинскомъ,19,31.88688,51.04801,,Нежинском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Possibly incorrect, 1792 map shows no Nizhyn in Novgorod-Severskoi Namiestnichestva"
105,Оршанскомъ,16,,,,Оршанском,,,17--,17--,,уезде,,,,,POINT,,,,,,
106,Острова,25,28.35368,57.34395,,Острова,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match"
107,Переяславскомъ,13,31.4795,50.08768,,Переяславском,,,17--,17--,,уезде,,,,,POINT,,,,,,
108,Петровскомъ,39,39.26928,57.01039,,Петровском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match"
109,Пирятинскомъ,38,32.50621,50.24242,,Пирятинском,,,17--,17--,,уезде,,,,,POINT,,,,,,
110,Полотавскомъ,8,,,,Полотавском,,,17--,17--,,уезде,,,,,POINT,,,,,,
111,Полотска,24,28.7856,55.4879,,Полотска,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match"
112,Полтавскомъ,8,,,,Полтавском,,,17--,17--,,уезде,,,,,POINT,,,,,,
113,Пошехонскомъ,39,39.13531,58.49928,,Пошехонском,,,17--,17--,,уезде,,,,,POINT,,,,,,
114,Прилуцкомъ,38,,,,Прилуцком,,,17--,17--,,уезде,,,,,POINT,,,,,,
115,Псковскаго,25,28.3496,57.8136,,Псковского,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match"
116,Рогачева,16,30.0495,53.0934,,Рогачева,,,17--,17--,,уезде,,,,,POINT,,,,,,
117,Ростовскомъ,39,39.41394,57.1914,,Ростовском,,,17--,17--,,уезде,,,,,POINT,,,,,,
118,Рузскомъ,1,36.19522,55.69898,,Рузском,,,17--,17--,,уезде,,,,,POINT,,,,,,
119,Рязанскаго,28,44.7329,53.1783,,Рязанского,,,17--,17--,,уезде,,,,,POINT,,,,,,
120,Саранскомъ,22,45.1749,54.1838,,Саранском,,,17--,17--,,уезде,,,,,POINT,,,,,,
121,Саратовскомъ,29,46.00861,51.54056,,Саратовском,,,17--,17--,,уезде,,,,,POINT,,,,,,
122,Свіажскомъ,11,,,,Свиажском,,,17--,17--,,уезде,,,,,POINT,,,,,,
123,Синбирскаго,30,48.38657,54.32824,,Синбирского,,,17--,17--,,уезде,,,,,POINT,,,,,,
124,Сосницкомъ,19,,,,Сосницком,,,17--,17--,,уезде,,,,,POINT,,,,,,
125,Старобыховскомъ,16,,,,Старобыховском,,,17--,17--,,уезде,,,,,POINT,,,,,,
126,Стародубовскомъ,19,33.67942,52.2405,,Стародубовском,,,17--,17--,,уезде,,,,,POINT,,,,,,
127,Суздальскомъ,3,40.44668,56.42274,,Суздальском,,,17--,17--,,уезде,,,,,POINT,,,,,,
128,Тверскаго,33,35.90057,56.85836,,Тверского,,,17--,17--,,уезде,,,,,POINT,,,,,,
129,Темниковскомъ,32,43.21483,54.63023,,Темниковском,,,17--,17--,,уезде,,,,,POINT,,,"Temnikov, Mordoviya",Russia,RU,
130,Тульскаго,35,,,,Тульского Же,,,17--,17--,,уезде,,,,,POINT,,,,,,
131,Харьковскаго,37,36.25272,49.98081,,Харьковского,,,17--,17--,,уезде,,,,,POINT,,,,,,
132,Челябинскомъ,36,,,,Челябинском,,,17--,17--,,уезде,,,,,POINT,,,,,,
133,Чериковскомъ,16,31.3831,53.5689,,Чериковском,,,17--,17--,,уезде,,,,,POINT,,,,,,
134,Черниговскаго,38,31.28488,51.50551,,Черниговского,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match"
135,Чухломскомъ,14,,,,Чухломском,,,17--,17--,,уезде,,,,,POINT,,,,,,
136,Шатскомъ,32,41.71191,54.02576,,Шатском,,,17--,17--,,уезде,,,,,POINT,,,,,,"Multiple returns, confirmed match"
137,Юрьевца,14,,,,Юрьевца,,,17--,17--,,уезде,,,,,POINT,,,,,,
138,Яренскомъ,4,49.09162,62.16755,,Яренском,,,17--,17--,,уезде,,,,,POINT,,,,,,
139,Ярославскаго,39,39.87368,57.62987,,Ярославского,,,17--,17--,,уезде,,,,,POINT,,,,,,"Manual lookup of large, well-known city"
140,ВОЛЬНАЯ,,35.379167,50.423333,,,,,,,,,,,,,,,,,,,"ВОЛЬНАЯ could be Вільне in modern Ukranian, conferred with Brockhaus map of Khark. Gub., saw reference to being across from Ямне, followed references in wikipedia which include lat/long. Ultimately not able to determine with certainty that this is the same town."
