,uniq_id,ru_old_orth,alt_name,partof_id,x_coord,y_coord,ru_featuretype,SOURCE,description,ru_new_orth,lc_trans,pres_loc,country,country_code
43,44,Бабиновецкий,,16.0,30.5725,54.8351,уезд,,,Бабиновецкий,Babinovetskii,"Babinavichy, Vitebsk Region",Belarus,BY
44,45,Бѣжецкий,,33.0,36.696509999999996,57.785059999999994,уезд,,,Бежецкий,Bezhetskii,"Bezhetsk, Tver Oblast",Russia,RU
45,46,Бѣлевский,,35.0,36.13194,53.81194,уезд,,,Белевский,Belevskii,"Belyov, Tula Oblast",Russia,RU
46,47,Бѣлицкий,,16.0,30.4122,52.9395,уезд,,,Белицкий,Belitskii,"Белицк, Homiel Province",Belarus,BY
47,48,Бѣлогородский,,15.0,38.51663,54.37445,уезд,,,Белогородский,Belogorodskii,"Belgorodskiy, Tula Oblast",Russia,RU
48,49,Бѣлозерский,,18.0,37.8084,60.0288,уезд,,,Белозерский,Belozerskii,"Belozersk, Vologda Oblast",Russia,RU
49,50,Валуеский,,5.0,38.1067,50.2035,уезд,,,Валуеский,Valueskii,"Valuyki, Belgorod Oblast",Russia,RU
50,51,Великолуцкий,,25.0,30.545170000000002,56.34,уезд,,,Великолуцкий,Velikolutskii,"Velikiye Luki, Pskov Oblast",Russia,RU
51,52,Веневский,,35.0,38.26843,54.35533,уезд,,,Веневский,Venevskii,"Venyov, Tula Oblast",Russia,RU
52,53,Верейский,,1.0,36.17194,55.344719999999995,уезд,,,Верейский,Vereiskii,"Vereya, Moscow Oblast",Russia,RU
53,54,Верхнеудивский,,9.0,107.6,51.833333,уезд,,,Верхнеудивский,Verkhneudivskii,"Ulan-Ude, Buryatia",Russia,RU
54,55,Вологодский,,4.0,39.88398,59.2239,уезд,,,Вологодский,Vologodskii,"Vologda, Vologda Oblast",Russia,RU
55,56,Волоколамский,,1.0,35.969440000000006,56.033609999999996,уезд,,,Волоколамский,Volokolamskii,"Volokolamsk, Moscow Oblast",Russia,RU
56,57,Выборгский,,6.0,28.75283,60.70763,уезд,,,Выборгский,Vyborgskii,"Vyborg, Leningrad Oblast",Russia,RU
57,58,Гадяцкий,,38.0,33.990990000000004,50.37112,уезд,,,Гадяцкий,Gadiatskii,"Hadyach, Poltavs'ka oblast",Ukraine,UA
58,59,Гороховецкий,,3.0,42.693509999999996,56.201519999999995,уезд,,,Гороховецкий,Gorokhovetskii,"Gorokhovets, Vladimir Oblast",Russia,RU
59,60,Динабургский,,24.0,26.53333,55.88333000000001,уезд,,,Динабургский,Dinaburgskii,"Daugavpils, Daugavpils pilsēta",Latvia,LV
60,61,Дмитровский,,1.0,37.52041,56.34485,уезд,,,Дмитровский,Dmitrovskii,"Dmitrov, Moscow Oblast",Russia,RU
61,62,Донковский,,28.0,39.15553,53.25155,уезд,,,Донковский,Donkovskii,"Dankov, Lipetsk Oblast",Russia,RU
62,63,Екатеринославский,,8.0,34.98333,48.45,уезд,,,Екатеринославский,Ekaterinoslavskii,"Dnepropetrovsk, Dnipropetrovsk Oblast",Ukraine,UA
63,64,Елецкий,,21.0,38.50169,52.62366,уезд,,,Елецкий,Eletskii,"Yelets, Lipetsk Oblast",Russia,RU
64,65,Епифанский,,35.0,38.551809999999996,53.82526,уезд,,,Епифанский,Epifanskii,"Yepifan, Tula Oblast",Russia,RU
65,66,Зарайский,,28.0,38.878409999999995,54.7605,уезд,,,Зарайский,Zaraiskii,"Zaraysk, Moscow Oblast",Russia,RU
66,67,Звенигородский,,1.0,36.85918,55.734019999999994,уезд,,,Звенигородский,Zvenigorodskii,"Zvenigorod, Moscow Oblast",Russia,RU
67,68,Зубцовский,,33.0,34.58935,56.175340000000006,уезд,,,Зубцовский,Zubtsovskii,"Zubtsov, Tver Oblast",Russia,RU
68,69,Изюмский,,37.0,37.24848,49.20875,уезд,,,Изюмский,Iziumskii,"Izyum, Kharkiv Oblast",Ukraine,UA
69,71,Касимовский,,28.0,41.39528,54.941109999999995,уезд,,,Касимовский,Kasimovskii,"Kasimov, Ryazan Oblast",Russia,RU
70,72,Кашинский,,33.0,37.608059999999995,57.35917,уезд,,,Кашинский,Kashinskii,"Kashin, Tver Oblast",Russia,RU
71,73,Каширский,,35.0,38.166940000000004,54.844440000000006,уезд,,,Каширский,Kashirskii,"Kashira, Moscow Oblast",Russia,RU
72,74,Керенский,,22.0,43.05744,53.69157,уезд,,,Керенский,Kerenskii,"Vadinsk, Penza Oblast",Russia,RU
73,75,Кинешемский,,14.0,42.12894,57.43914,уезд,,,Кинешемский,Kineshemskii,"Kineshma, Ivanovo Oblast",Russia,RU
74,76,Киренский,,9.0,108.11193999999999,57.78528000000001,уезд,,,Киренский,Kirenskii,"Kirensky District, Irkutsk Oblast",Russia,RU
75,77,Кіевский,,13.0,30.5238,50.45466,уезд,,,Киевский,Kіevskii,"Kiev, Kyiv city",Ukraine,UA
76,78,Климовицкий,,16.0,31.9586,53.6079,уезд,,,Климовицкий,Klimovitskii,"Klimavichy, Mogilev Province",Belarus,BY
77,79,Козельский,,12.0,35.77159,54.037459999999996,уезд,,,Козельский,Kozel'skii,"Kozelsk, Kaluga Oblast",Russia,RU
78,80,Козловский,,32.0,40.4907,52.8978,уезд,,,Козловский,Kozlovskii,"Michurinsk, Tambov Oblast",Russia,RU
79,81,Коломенский,,1.0,38.77833,55.079440000000005,уезд,,,Коломенский,Kolomenskii,"Kolomna, Moscow Oblast",Russia,RU
80,82,Короченский,,15.0,37.18598,50.8132,уезд,,,Короченский,Korochenskii,"Korocha, Belgorod Oblast",Russia,RU
81,83,Костромский,,14.0,40.92686,57.76647,уезд,,,Костромский,Kostromskii,"Kostroma, Kostroma Oblast",Russia,RU
82,84,Краснослободский,,22.0,43.789629999999995,54.4253,уезд,,,Краснослободский,Krasnoslobodskii,"Krasnoslobodsk, Mordovia",Russia,RU
83,85,Курский,,15.0,36.18735,51.73733,уезд,,,Курский,Kurskii,"Kursk, Kursk Oblast",Russia,RU
84,86,Лебедянский,,32.0,39.16639,53.01942,уезд,,,Лебедянский,Lebedianskii,"Lebedyan, Lipetsk Oblast",Russia,RU
85,87,Ливенский,,21.0,37.60689,52.425340000000006,уезд,,,Ливенский,Livenskii,"Livny, Oryol Oblast",Russia,RU
86,88,Лубенский,,13.0,32.99694,50.01625,уезд,,,Лубенский,Lubenskii,"Lubny, Poltavs'ka oblast",Ukraine,UA
87,89,Любимский,,39.0,40.684329999999996,58.3625,уезд,,,Любимский,Liubimskii,"Lyubim, Yaroslavl Oblast",Russia,RU
88,90,Мезенский,,2.0,44.2542,65.8401,уезд,,,Мезенский,Mezenskii,"Mezen, Arkhangelsk Oblast",Russia,RU
89,91,Миргородский,,13.0,33.60886,49.968540000000004,уезд,,,Миргородский,Mirgorodskii,"Myrhorod, Poltavs'ka oblast",Ukraine,UA
90,92,Миропольский,,37.0,35.26233,51.023,уезд,,,Миропольский,Miropol'skii,"Myropillya, Sums'ka oblast",Ukraine,UA
91,93,Можайский,,1.0,36.02722,55.501940000000005,уезд,,,Можайский,Mozhaiskii,"Mozhaysk, Moscow Oblast",Russia,RU
92,94,Мстиславский,,16.0,31.7217,54.0185,уезд,,,Мстиславский,Mstislavskii,"Mstsislaw, Mogilev Province",Belarus,BY
93,95,Наровчатовский,,22.0,43.69458,53.876540000000006,уезд,,,Наровчатовский,Narovchatovskii,"Narovchat, Penza Oblast",Russia,RU
94,96,Нижеломовский,,22.0,43.676629999999996,53.530409999999996,уезд,,,Нижеломовский,Nizhelomovskii,"Nizhny Lomov, Penza Oblast",Russia,RU
95,97,Новгородский,,,31.271040000000003,58.52131,уезд,,,Новгородский,Novgorodskii,"Veliky Novgorod, Novgorod Oblast",Russia,RU
96,98,Новогородский,,18.0,31.271040000000003,58.52131,уезд,,,Новогородский,Novogorodskii,"Veliky Novgorod, Novgorod Oblast",Russia,RU
97,99,Новогород - Сѣверский,,19.0,33.266667,51.983333,уезд,,,Новогород - Северский,Novogorod - Severskii,"Novhorod-Sivers'kyi, Chernihivs'ka oblast",Ukraine,UA
98,100,Новосильский,,35.0,37.04048,52.97387,уезд,,,Новосильский,Novosil'skii,"Novosil, Oryol Oblast",Russia,RU
99,101,Нѣжинский,,38.0,31.886879999999998,51.04801,уезд,,,Нежинский,Nezhinskii,"Nizhyn, Chernihivs'ka oblast",Ukraine,UA
100,102,Нѣжинский,,19.0,31.886879999999998,51.04801,уезд,,,Нежинский,Nezhinskii,"Nizhyn, Chernihivs'ka oblast",Ukraine,UA
101,103,Оршанский,,16.0,30.4172,54.5081,уезд,,,Оршанский,Orshanskii,"Orsha, Vitebsk Region",Belarus,BY
102,104,Островский,,25.0,28.353679999999997,57.34395,уезд,,,Островский,Ostrovskii,"Ostrov, Pskov Oblast",Russia,RU
103,105,Переяславский,,13.0,31.4795,50.08768,уезд,,,Переяславский,Pereiaslavskii,"Pereyaslav-Khmel'nyts'kyi, Kyivs'ka oblast",Ukraine,UA
104,106,Петровский,,39.0,39.26928,57.01039,уезд,,,Петровский,Petrovskii,"Petrovskoye, Yaroslavl Oblast",Russia,RU
105,107,Пирятинский,,38.0,32.506209999999996,50.24242,уезд,,,Пирятинский,Piriatinskii,"Pyryatyn, Poltavs'ka oblast",Ukraine,UA
