,uy_id,result_placename,searched_placename,admin1,country_name,lat,lng,src_id,country_code,url,src,namiest,uezd,partof_id,
29,177,Voskresensk,воскресенск,Moskovskaya,Russia,55.31733,38.65264,471656,RU,http://api.geonames.org/search?username=jaguillette&type=json&north=56.981&west=34.3446&east=40.3419&name=%D0%B2%D0%BE%D1%81%D0%BA%D1%80%D0%B5%D1%81%D0%B5%D0%BD%D1%81%D0%BA&south=54.2132&featureClass=P,geonames,московск,воскресенск,1,
30,177,Voskresensk,воскресенск,Smolensk,Russia,55.64583,34.93861,471655,RU,http://api.geonames.org/search?username=jaguillette&type=json&north=56.981&west=34.3446&east=40.3419&name=%D0%B2%D0%BE%D1%81%D0%BA%D1%80%D0%B5%D1%81%D0%B5%D0%BD%D1%81%D0%BA&south=54.2132&featureClass=P,geonames,московск,воскресенск,1,
31,177,Voskresensk,воскресенск,Smolensk,Russia,54.98333,35.11667,471657,RU,http://api.geonames.org/search?username=jaguillette&type=json&north=56.981&west=34.3446&east=40.3419&name=%D0%B2%D0%BE%D1%81%D0%BA%D1%80%D0%B5%D1%81%D0%B5%D0%BD%D1%81%D0%BA&south=54.2132&featureClass=P,geonames,московск,воскресенск,1,
32,177,Voskresenki,воскресенск,Moskovskaya,Russia,55.84154,36.63196,471668,RU,http://api.geonames.org/search?username=jaguillette&type=json&north=56.981&west=34.3446&east=40.3419&name=%D0%B2%D0%BE%D1%81%D0%BA%D1%80%D0%B5%D1%81%D0%B5%D0%BD%D1%81%D0%BA&south=54.2132&featureClass=P,geonames,московск,воскресенск,1,
33,177,Istra,воскресенск,Moskovskaya,Russia,55.91997,36.86867,555746,RU,http://api.geonames.org/search?username=jaguillette&type=json&north=56.981&west=34.3446&east=40.3419&name=%D0%B2%D0%BE%D1%81%D0%BA%D1%80%D0%B5%D1%81%D0%B5%D0%BD%D1%81%D0%BA&south=54.2132&featureClass=P,geonames,московск,воскресенск,1,
34,179,not_found,любенск,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&north=51.49413&west=29.72503&east=34.35625&name=%D0%BB%D1%8E%D0%B1%D0%B5%D0%BD%D1%81%D0%BA&south=49.08008&featureClass=P,geonames,киевск,любенск,13,
35,179,not_found,любен,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&north=51.49413&west=29.72503&east=34.35625&name=%D0%BB%D1%8E%D0%B1%D0%B5%D0%BD&south=49.08008&featureClass=P,geonames,киевск,любенск,13,
36,181,Yefremov,ефремов,Tula,Russia,53.14806,38.09924,468390,RU,http://api.geonames.org/search?username=jaguillette&type=json&north=55.0867&west=35.5421&east=39.6827&name=%D0%B5%D1%84%D1%80%D0%B5%D0%BC%D0%BE%D0%B2&south=52.8329&featureClass=P,geonames,тульск,ефремов,35,
37,182,Borovsk,боровск,Kaluga,Russia,55.20639,36.48611,572070,RU,http://api.geonames.org/search?username=jaguillette&type=json&north=55.374&west=33.3881&east=37.3796&name=%D0%B1%D0%BE%D1%80%D0%BE%D0%B2%D1%81%D0%BA&south=53.2604&featureClass=P,geonames,калужск,боровск,12,
38,185,not_found,алатырск,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?username=jaguillette&type=json&north=58.316667&west=44.366667&east=52.366667&name=%D0%B0%D0%BB%D0%B0%D1%82%D1%8B%D1%80%D1%81%D0%BA&south=50.316667&featureClass=P,geonames,синбирск,алатырск,30,
