,uy_id,result_placename,searched_placename,admin1,country_name,lat,lng,src_id,country_code,url,src,namiest,uezd,partof_id
20,169,Sen’kov,сен,Mogilev,Belarus,53.7598,29.5789,621935,BY,http://api.geonames.org/search?type=json&south=51.9042&username=jaguillette&featureClass=P&east=32.863&name=%D1%81%D0%B5%D0%BD&north=55.194&west=29.5408,geonames,могилевск,сен,16
21,169,Sen’kovo,сен,Mogilev,Belarus,53.9375,30.1693,622268,BY,http://api.geonames.org/search?type=json&south=51.9042&username=jaguillette&featureClass=P&east=32.863&name=%D1%81%D0%B5%D0%BD&north=55.194&west=29.5408,geonames,могилевск,сен,16
22,169,Sen’kovo,сен,Mogilev,Belarus,53.9117,30.3977,8331388,BY,http://api.geonames.org/search?type=json&south=51.9042&username=jaguillette&featureClass=P&east=32.863&name=%D1%81%D0%B5%D0%BD&north=55.194&west=29.5408,geonames,могилевск,сен,16
23,169,Sen’kin Rov,сен,Brjansk,Russia,53.05306,32.65129,863792,RU,http://api.geonames.org/search?type=json&south=51.9042&username=jaguillette&featureClass=P&east=32.863&name=%D1%81%D0%B5%D0%BD&north=55.194&west=29.5408,geonames,могилевск,сен,16
24,170,Bogorodsk,богородск,Moskovskaya,Russia,55.85,38.45,575561,RU,http://api.geonames.org/search?type=json&south=54.2132&username=jaguillette&featureClass=P&east=40.3419&name=%D0%B1%D0%BE%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA&north=56.981&west=34.3446,geonames,московск,богородск,1
25,173,Koz'modem'yansk,козьмодемьянск,Mariy-El,Russia,56.3419,46.56353,543018,RU,http://api.geonames.org/search?type=json&south=51.790833&username=jaguillette&featureClass=P&east=53.114444&name=%D0%BA%D0%BE%D0%B7%D1%8C%D0%BC%D0%BE%D0%B4%D0%B5%D0%BC%D1%8C%D1%8F%D0%BD%D1%81%D0%BA&north=59.790833&west=45.114444,geonames,казанск,козьмодемьянск,11
26,174,Ruza,руз,Moskovskaya,Russia,55.69898,36.19522,500303,RU,http://api.geonames.org/search?type=json&south=54.2132&username=jaguillette&featureClass=P&east=40.3419&name=%D1%80%D1%83%D0%B7&north=56.981&west=34.3446,geonames,московск,руз,1
27,178,Voskresensk,воскресенск,Moskovskaya,Russia,55.31733,38.65264,471656,RU,http://api.geonames.org/search?type=json&south=54.2132&username=jaguillette&featureClass=P&east=40.3419&name=%D0%B2%D0%BE%D1%81%D0%BA%D1%80%D0%B5%D1%81%D0%B5%D0%BD%D1%81%D0%BA&north=56.981&west=34.3446,geonames,московск,воскресенск,1
28,178,Voskresensk,воскресенск,Smolensk,Russia,55.64583,34.93861,471655,RU,http://api.geonames.org/search?type=json&south=54.2132&username=jaguillette&featureClass=P&east=40.3419&name=%D0%B2%D0%BE%D1%81%D0%BA%D1%80%D0%B5%D1%81%D0%B5%D0%BD%D1%81%D0%BA&north=56.981&west=34.3446,geonames,московск,воскресенск,1
29,178,Voskresensk,воскресенск,Smolensk,Russia,54.98333,35.11667,471657,RU,http://api.geonames.org/search?type=json&south=54.2132&username=jaguillette&featureClass=P&east=40.3419&name=%D0%B2%D0%BE%D1%81%D0%BA%D1%80%D0%B5%D1%81%D0%B5%D0%BD%D1%81%D0%BA&north=56.981&west=34.3446,geonames,московск,воскресенск,1
30,178,Voskresenki,воскресенск,Moskovskaya,Russia,55.84154,36.63196,471668,RU,http://api.geonames.org/search?type=json&south=54.2132&username=jaguillette&featureClass=P&east=40.3419&name=%D0%B2%D0%BE%D1%81%D0%BA%D1%80%D0%B5%D1%81%D0%B5%D0%BD%D1%81%D0%BA&north=56.981&west=34.3446,geonames,московск,воскресенск,1
31,178,Istra,воскресенск,Moskovskaya,Russia,55.91997,36.86867,555746,RU,http://api.geonames.org/search?type=json&south=54.2132&username=jaguillette&featureClass=P&east=40.3419&name=%D0%B2%D0%BE%D1%81%D0%BA%D1%80%D0%B5%D1%81%D0%B5%D0%BD%D1%81%D0%BA&north=56.981&west=34.3446,geonames,московск,воскресенск,1
32,179,not_found,дяцк,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=49.08008&username=jaguillette&featureClass=P&east=34.35625&name=%D0%B4%D1%8F%D1%86%D0%BA&north=51.49413&west=29.72503,geonames,киевск,дяцк,13
33,180,not_found,любенск,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=49.08008&username=jaguillette&featureClass=P&east=34.35625&name=%D0%BB%D1%8E%D0%B1%D0%B5%D0%BD%D1%81%D0%BA&north=51.49413&west=29.72503,geonames,киевск,любенск,13
34,180,not_found,любен,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=49.08008&username=jaguillette&featureClass=P&east=34.35625&name=%D0%BB%D1%8E%D0%B1%D0%B5%D0%BD&north=51.49413&west=29.72503,geonames,киевск,любенск,13
35,182,Yefremov,ефремов,Tula,Russia,53.14806,38.09924,468390,RU,http://api.geonames.org/search?type=json&south=52.8329&username=jaguillette&featureClass=P&east=39.6827&name=%D0%B5%D1%84%D1%80%D0%B5%D0%BC%D0%BE%D0%B2&north=55.0867&west=35.5421,geonames,тульск,ефремов,35
36,183,Borovsk,боровск,Kaluga,Russia,55.20639,36.48611,572070,RU,http://api.geonames.org/search?type=json&south=53.2604&username=jaguillette&featureClass=P&east=37.3796&name=%D0%B1%D0%BE%D1%80%D0%BE%D0%B2%D1%81%D0%BA&north=55.374&west=33.3881,geonames,калужск,боровск,12
37,186,not_found,алатырск,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=50.316667&username=jaguillette&featureClass=P&east=52.366667&name=%D0%B0%D0%BB%D0%B0%D1%82%D1%8B%D1%80%D1%81%D0%BA&north=58.316667&west=44.366667,geonames,синбирск,алатырск,30
38,186,Alatyr',алатыр,Chuvashia,Russia,54.8421,46.5813,583437,RU,http://api.geonames.org/search?type=json&south=50.316667&username=jaguillette&featureClass=P&east=52.366667&name=%D0%B0%D0%BB%D0%B0%D1%82%D1%8B%D1%80&north=58.316667&west=44.366667,geonames,синбирск,алатырск,30
39,186,Alatyr’kasy,алатыр,Chuvashia,Russia,56.0395,47.54381,6198182,RU,http://api.geonames.org/search?type=json&south=50.316667&username=jaguillette&featureClass=P&east=52.366667&name=%D0%B0%D0%BB%D0%B0%D1%82%D1%8B%D1%80&north=58.316667&west=44.366667,geonames,синбирск,алатырск,30
40,188,not_found,опочек,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=55.1937102573&username=jaguillette&featureClass=P&east=32.1900482178&name=%D0%BE%D0%BF%D0%BE%D1%87%D0%B5%D0%BA&north=59.0651312501&west=24.1218047142,geonames,псковск,опочек,25
41,189,not_found,царевококшайск,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=51.790833&username=jaguillette&featureClass=P&east=53.114444&name=%D1%86%D0%B0%D1%80%D0%B5%D0%B2%D0%BE%D0%BA%D0%BE%D0%BA%D1%88%D0%B0%D0%B9%D1%81%D0%BA&north=59.790833&west=45.114444,geonames,казанск,царевококшайск,11
42,189,not_found,царевококшай,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=51.790833&username=jaguillette&featureClass=P&east=53.114444&name=%D1%86%D0%B0%D1%80%D0%B5%D0%B2%D0%BE%D0%BA%D0%BE%D0%BA%D1%88%D0%B0%D0%B9&north=59.790833&west=45.114444,geonames,казанск,царевококшайск,11
43,190,Yur’yev-Pol’skiy,юрьев,Vladimir,Russia,56.50339,39.67911,466215,RU,http://api.geonames.org/search?type=json&south=52.133333&username=jaguillette&featureClass=P&east=44.416667&name=%D1%8E%D1%80%D1%8C%D0%B5%D0%B2&north=60.133333&west=36.416667,geonames,владимерск,юрьев,3
44,191,Porkhov,порхов,Pskov,Russia,57.76502,29.55612,506278,RU,http://api.geonames.org/search?type=json&south=55.1937102573&username=jaguillette&featureClass=P&east=32.1900482178&name=%D0%BF%D0%BE%D1%80%D1%85%D0%BE%D0%B2&north=59.0651312501&west=24.1218047142,geonames,псковск,порхов,25
45,192,not_found,менск,not_found,not_found,not_found,not_found,not_found,not_found,http://api.geonames.org/search?type=json&south=47.5&username=jaguillette&featureClass=P&east=35.3&name=%D0%BC%D0%B5%D0%BD%D1%81%D0%BA&north=55.5&west=27.3,geonames,черниговск,менск,38
46,192,Men’kivka,мен,Zhytomyr,Ukraine,50.64875,29.16948,701357,UA,http://api.geonames.org/search?type=json&south=47.5&username=jaguillette&featureClass=P&east=35.3&name=%D0%BC%D0%B5%D0%BD&north=55.5&west=27.3,geonames,черниговск,менск,38
47,192,Men'shikovo,мен,Kursk,Russia,51.9306,34.9014,527547,RU,http://api.geonames.org/search?type=json&south=47.5&username=jaguillette&featureClass=P&east=35.3&name=%D0%BC%D0%B5%D0%BD&north=55.5&west=27.3,geonames,черниговск,менск,38
48,193,V’yugovtsy,в,Kirov,Russia,58.27584,50.29378,470078,RU,http://api.geonames.org/search?type=json&south=57.25&username=jaguillette&featureClass=P&east=57.25&name=%D0%B2&north=64.08&west=37.83,geonames,вологодск,в,4
49,193,V’yushkovo,в,Ivanovo,Russia,57.58698,41.91335,469946,RU,http://api.geonames.org/search?type=json&south=57.25&username=jaguillette&featureClass=P&east=57.25&name=%D0%B2&north=64.08&west=37.83,geonames,вологодск,в,4
50,193,V’yugi,в,Kirov,Russia,58.04901,49.07168,469956,RU,http://api.geonames.org/search?type=json&south=57.25&username=jaguillette&featureClass=P&east=57.25&name=%D0%B2&north=64.08&west=37.83,geonames,вологодск,в,4
51,193,V’yalkovshchina,в,Kirov,Russia,58.63573,48.03712,6311788,RU,http://api.geonames.org/search?type=json&south=57.25&username=jaguillette&featureClass=P&east=57.25&name=%D0%B2&north=64.08&west=37.83,geonames,вологодск,в,4
