name,lng,lat,beg,end,text
Ямполь,37.95634,48.93555,1788-05-20,1788-05-20,Мая 9
Ямполь,37.95634,48.93555,1788-11-12,1788-11-12,Ноября 1
Ямполь,37.95634,48.93555,1788-12-17,1788-12-17,Декабря 6
Сватова Лучка,38.063939,49.351971,1788-06-19,1788-06-19,Июня 8
Сватова Лучка,38.063939,49.351971,1788-10-07,1788-10-07,Сентября 26
Сватова Лучка,38.063939,49.351971,1788-05-19,1788-05-19,Иоанна Богослова
Ефремов,38.09924,53.14806,1788-08-17,1788-08-17,Августа 6
Ефремов,38.09924,53.14806,1788-09-26,1788-09-26,Сентября 15
Ефремов,38.09924,53.14806,1788-10-12,1788-10-12,Октября 1
Ефремов,38.09924,53.14806,1788-07-04,1788-07-04,десятая пятница
Гритчино,38.10556,54.60417,1788-06-15,1788-06-15,Сошествия Святого Духа
Богородицк,38.12408,53.77166,1788-07-18,1788-07-18,Июля 7
Кошира,38.16694,54.84444,1788-06-05,1788-06-05,Вознесения
Успенской,38.24691,53.06317,1788-08-26,1788-08-26,успения
Бронницы,38.26188,55.42112,1788-09-17,1788-09-17,Сентября 6
Венев,38.26843,54.35533,1788-07-04,1788-07-04,десятую пятницу
Углич,38.33167,57.5275,1788-07-19,1788-07-19,Июля 8
Углич,38.33167,57.5275,1788-01-06,1788-01-06,Декабря 26
Кирилов,38.38128,59.86299,1788-03-28,1788-03-28,Марта 17
Молога,38.441111,58.199722,1788-01-29,1788-01-29,Генваря 18
Молога,38.441111,58.199722,1788-03-31,1788-04-06,четвертой неделе великого поста
Глебово,38.44731,58.00519,1788-09-19,1788-09-19,Сентября в 8
Богородск,38.45,55.85,1788-05-20,1788-05-20,Мая 9
Богородск,38.45,55.85,1788-12-17,1788-12-17,Декабря 6
Тюртень,38.48336,53.13139,1788-07-19,1788-07-19,Июля в 8
Елец,38.50169,52.62366,1788-09-19,1788-09-19,Сентября в 8
Елец,38.50169,52.62366,1788-06-01,1788-06-01,Мая 21
Елец,38.50169,52.62366,1788-08-03,1788-08-03,Июля 23
Елец,38.50169,52.62366,1788-07-10,1788-07-10,Июня 29
Елец,38.50169,52.62366,1788-07-19,1788-07-19,Июля в 8
Епифань,38.55181,53.82526,1788-05-20,1788-05-20,Мая 9
Епифань,38.55181,53.82526,1788-12-17,1788-12-17,Николая
Авдулово,38.6293,53.29975,1788-08-10,1788-08-10,Июля 30
Гремячев,38.6607,54.13149,1788-06-23,1788-06-23,первый день Петрова поста
Гремячев,38.6607,54.13149,1788-05-21,1788-05-21,Преполовения
Бучалки,38.77664,53.7559,1788-07-07,1788-07-07,Июня 26
Рыбинск,38.84259,58.0446,1788-07-10,1788-07-10,Июня 29
Рыбинск,38.84259,58.0446,1788-08-17,1788-08-17,Августа в 6
Переславль Залеской,38.85626,56.73934,1788-07-04,1788-07-04,23 Июня
Зарайск,38.87841,54.7605,1788-05-20,1788-05-20,Мая 9
Зарайск,38.87841,54.7605,1788-08-08,1788-08-08,Июля 28
Зарайск,38.87841,54.7605,1788-06-15,1788-06-15,Пятидесятницы
Покровское,38.92026,53.35175,1788-07-26,1788-07-26,15 Июля
Острогожск,39.07561,50.8664,1788-09-19,1788-09-19,Сентября 8
Острогожск,39.07561,50.8664,1788-12-17,1788-12-17,Декабря 6
Острогожск,39.07561,50.8664,1788-07-04,1788-07-04,десятую пятницу
Грязное,39.1179,54.0418,1788-07-19,1788-07-19,Июля 8
Пошехонь,39.13531,58.49928,1788-09-12,1788-10-11,Сентябре
Пошехонь,39.13531,58.49928,1788-05-19,1788-05-19,Иоанна Богослова
Пошехонь,39.13531,58.49928,1788-06-22,1788-06-22,Троицы
Борисоглебской,39.1508,57.2586,1788-05-13,1788-05-13,Мая 2
Донков,39.15553,53.25155,1788-07-18,1788-07-18,пятницу второй надесять недели по Пасхе
Коротояк,39.17677,50.98665,1788-07-19,1788-07-19,Июля 8
Алексеевка,39.17942,49.01808,1788-11-12,1788-11-12,Ноября 1
Алексеевка,39.17942,49.01808,1788-03-28,1788-03-28,Алексия человека Божия
Алексеевка,39.17942,49.01808,1788-06-15,1788-06-21,Троицкой неделе
Воронеж,39.210556,51.671667,1788-09-09,1788-09-09,29 день Августа
Воронеж,39.210556,51.671667,1788-07-04,1788-07-04,десятой пятнице
Петровск,39.26928,57.01039,1788-08-09,1788-08-09,29 Июля
Петровск,39.26928,57.01039,1788-09-25,1788-09-25,14 Сентября
Ростов,39.41394,57.1914,1788-03-17,1788-03-23,второй неделе великого поста
Борисоглебск,39.525119,57.866991,1788-05-19,1788-05-19,Иоанна Богослова
Борисоглебск,39.525119,57.866991,1788-06-22,1788-06-22,Троицы
Семеновское,39.53766,57.3252,1788-07-04,1788-07-04,десятую пятницу
Романов,39.5406,57.88529,1788-10-07,1788-10-07,Сентября 26
Романов,39.5406,57.88529,1788-05-19,1788-05-19,Иоанна Богослова
Романов,39.5406,57.88529,1788-06-22,1788-06-22,Троицы
Скопин,39.55053,53.82486,1788-04-27,1788-05-03,Светлой недели
Липецк,39.57076,52.60311,1788-05-02,1788-05-02,Апреля 21
Липецк,39.57076,52.60311,1788-07-04,1788-07-04,Июня 23
Липецк,39.57076,52.60311,1788-08-26,1788-08-26,Августа 15
Усмань,39.7288,52.04662,1788-07-04,1788-07-04,десятой пятнице
Махоново,39.7671,52.90838,1788-09-09,1788-09-09,29 Августа
Митякинская,39.7831,48.6104,1788-07-04,1788-07-04,десятую пятницу
Ряжск,40.1109,53.7038,1788-07-12,1788-08-11,Июле
Ряжск,40.1109,53.7038,1788-07-11,1788-07-11,одиннадцатую пятницы
Демшинск,40.32167,52.11306,1788-09-09,1788-09-09,29 Августа
Старая Рязань,40.4287,54.4062,1788-07-10,1788-07-10,Июня 29
Суздаль,40.44668,56.42274,1788-01-05,1788-01-05,25 Декабря
Суздаль,40.44668,56.42274,1788-10-12,1788-10-12,1 Октября
Суздаль,40.44668,56.42274,1788-09-09,1788-09-09,Августа 29
Суздаль,40.44668,56.42274,1788-07-15,1788-07-15,Июля на 4
Суздаль,40.44668,56.42274,1788-09-25,1788-09-25,Сентября на 14
Суздаль,40.44668,56.42274,1788-01-17,1788-01-17,Генваря 6
Спаское,40.453412,57.761175,1788-08-17,1788-08-17,Преображения
Архангельск,40.533333,64.533333,1788-05-12,1788-06-11,Маие
Архангельск,40.533333,64.533333,1788-06-12,1788-07-11,Июне
Сапожок,40.68056,53.94194,1788-07-19,1788-07-19,Июля 8
Сапожок,40.68056,53.94194,1788-07-04,1788-07-04,десятой пятнице
Любим,40.68433,58.3625,1788-12-17,1788-12-17,Декабря 6
Любим,40.68433,58.3625,1788-06-22,1788-06-22,Тройцын
Ковров,41.31917,56.35722,1788-01-05,1788-01-05,25 Декабря
Шуя,41.38833,56.84865,1788-08-04,1788-08-04,24 Июля
Касимов,41.39528,54.94111,1788-07-19,1788-07-19,Июля 8
Тамбов,41.433333,52.716667,1788-07-19,1788-07-19,8 Июля
Тамбов,41.433333,52.716667,1788-07-04,1788-07-04,десятой пятнице
Опушка,41.48117,52.60643,1788-07-19,1788-07-19,8 Июля
Плес,41.51579,57.45862,1788-10-12,1788-10-12,Покровская
Молвитино,41.59483,58.14881,1788-06-27,1788-06-27,Июня 16
Парское,41.71092,57.01225,1788-09-09,1788-09-09,Августа 29
Моршанск,41.81065,53.44354,1788-08-26,1788-08-26,15 Августа
Конобеево,41.91224,54.04708,1788-07-05,1788-07-05,Июня 24
Муром,42.0426,55.575,1788-07-06,1788-07-06,Июня 25
Верховажской,42.04652,60.74717,1788-03-26,1788-03-26,15 числа Марта
Борисоглебск,42.08494,51.36713,1788-07-19,1788-07-19,Июля 8
Кинешма,42.12894,57.43914,1788-09-25,1788-09-25,Сентября с 14
Вязники,42.15563,56.24057,1788-07-14,1788-07-14,Июля 3
Лух,42.25838,57.01242,1788-06-27,1788-06-27,Июня 16
Вознесенской,42.45036,56.13119,1788-06-05,1788-06-05,Вознесения
Кадом,42.4675,54.55917,1788-07-10,1788-07-10,Июня 29
Кадом,42.4675,54.55917,1788-07-31,1788-07-31,Июля 20
Чухлома,42.68318,58.75375,1788-12-15,1788-12-15,4 Декабря
Чухлома,42.68318,58.75375,1788-10-12,1788-10-12,Октября в 1
Чухлома,42.68318,58.75375,1788-06-27,1788-06-27,девятую пятницу
Чухлома,42.68318,58.75375,1788-06-05,1788-06-05,Вознесении
Чухлома,42.68318,58.75375,1788-03-16,1788-03-16,первое Воскресение
Гороховец,42.69351,56.20152,1788-08-26,1788-08-26,успения
Кирсанов,42.72236,52.65494,1788-07-31,1788-07-31,Июля 20
Кирсанов,42.72236,52.65494,1788-06-23,1788-06-23,первой день Петрова поста
Спаск,43.013525,54.06635,1788-07-04,1788-07-04,десятую пятницу
Керенск,43.05744,53.69157,1788-06-12,1788-07-11,Июне
Керенск,43.05744,53.69157,1788-07-12,1788-08-11,Июле
Александровское,43.10415,53.40241,1788-06-12,1788-07-11,Июне
Судай,43.13026,58.97754,1788-12-02,1788-12-02,Ноября 21
Судай,43.13026,58.97754,1788-01-17,1788-01-17,Генваря 6
Судай,43.13026,58.97754,1788-04-05,1788-04-05,Марта 25
Судай,43.13026,58.97754,1788-07-31,1788-07-31,Пророка Илии
Темников,43.21483,54.63023,1788-07-04,1788-07-04,десятую пятницу
Ченбар,43.41647,52.96474,1788-07-04,1788-07-04,десятую пятницу
Ямская,43.57015,54.58449,1788-06-27,1788-06-27,девятую пятницу
Наровчат,43.69458,53.87654,1788-07-10,1788-07-10,Июня 29
Наровчат,43.69458,53.87654,1788-07-31,1788-07-31,Июля 20
Наровчат,43.69458,53.87654,1788-08-17,1788-08-17,Августа 6
Макарьев,43.8049,57.88501,1788-07-31,1788-07-31,Июля на 20
Макарьев,43.8049,57.88501,1788-01-30,1788-01-30,Генваря на 19
Макарьев,43.8049,57.88501,1788-04-05,1788-04-05,Марта на 25
Троицк,43.82312,54.09013,1788-07-10,1788-07-10,Июня 29
Троицкая,44.0139,62.3598,1788-01-12,1788-01-12,Генваря 1
Троицкая,44.0139,62.3598,1788-03-28,1788-03-28,Марта 17
Троицкая,44.0139,62.3598,1788-06-22,1788-06-22,ТРОИЦКАЯ
Кочелаево,44.04707,54.01948,1788-07-04,1788-07-04,десятую пятницу
Сердобск,44.21689,52.45861,1788-07-19,1788-07-19,Июля 8
Инсара,44.37382,53.86531,1788-06-22,1788-06-22,Троицкая
Шешкеев,44.75599,54.19005,1788-06-04,1788-06-04,Мая 24
Починки,44.86678,54.69875,1788-06-05,1788-06-05,Мая 25
Макарьев,45.06291,56.08367,1788-07-10,1788-07-10,Петра и Павла
Петровск,45.39167,52.30639,1788-07-19,1788-07-19,Июля 8
Старинское,45.69645,55.60512,1788-07-19,1788-07-19,Июля 8
Вашка,45.7464,64.8827,1788-01-12,1788-02-11,Генваре
Саратов,46,51.533333,1788-07-19,1788-07-19,Июля 8
Устюг Великий,46.31352,60.76186,1788-07-19,1788-07-19,Июля 8
Кузнецк,46.60037,53.11675,1788-07-04,1788-07-04,десятую пятницу
Корсунь,46.9827,54.19941,1788-06-23,1788-06-29,первой недели Петрова поста
Корсунь,46.9827,54.19941,1788-06-22,1788-06-22,Троицкая
Волск,47.37993,52.04541,1788-07-09,1788-07-09,28 Июня
Лальск,47.58617,60.74146,1788-12-17,1788-12-17,Декабря 6
Лальск,47.58617,60.74146,1788-01-29,1788-01-29,Генваря 18
Лальск,47.58617,60.74146,1788-04-05,1788-04-05,Марта 25
Лальск,47.58617,60.74146,1788-06-12,1788-06-21,Июня в первых числах
Цывильск,47.668387,55.737351,1788-07-07,1788-07-07,Июня 26
Цывильск,47.668387,55.737351,1788-07-31,1788-07-31,Июля 20
Хвалынск,48.1058,52.4906,1788-07-09,1788-07-09,Июня 28
Иса,48.3,48.6,1788-08-12,1788-08-12,Августа 1
Синбирск,48.366667,54.316667,1788-07-16,1788-07-16,Июля с 5
Яренск,49.09162,62.16755,1788-01-29,1788-02-03,Генваря от 18 по 23
Лаишев,49.55037,55.40464,1788-05-17,1788-06-12,Мая с 6 Июня по 1
Лаишев,49.55037,55.40464,1788-06-17,1788-06-17,6 Июня
Самара,50.15,53.20007,1788-07-12,1788-08-11,Июле
Самара,50.15,53.20007,1788-08-12,1788-09-11,Августе
Слободской,50.17722,58.73222,1788-12-05,1788-12-05,Ноября 24
Слободской,50.17722,58.73222,1788-07-12,1788-08-11,Июле
Слободской,50.17722,58.73222,1788-09-12,1788-10-11,Сентябре
Слободской,50.17722,58.73222,1788-07-06,1788-07-06,десятое Воскресенье по Пасхе
Слободской,50.17722,58.73222,1788-04-13,1788-04-13,пятое Воскресенье
Усть-Сысольск,50.80994,61.67642,1788-12-07,1788-12-07,Ноября с 26
Уральск,51.36667,51.23333,1788-06-12,1788-07-11,Июне
Уральск,51.36667,51.23333,1788-07-12,1788-08-11,Июле
Уральск,51.36667,51.23333,1788-09-12,1788-10-11,Сентябре
Уральск,51.36667,51.23333,1788-10-12,1788-11-11,Октябре
Уральск,51.36667,51.23333,1788-01-12,1788-02-11,Генваре
Уральск,51.36667,51.23333,1788-02-12,1788-03-11,Феврале
Мостовское,57.02846,56.54404,1788-12-02,1788-12-02,Ноября 21
Мостовское,57.02846,56.54404,1788-06-05,1788-06-05,Вознесения
Челябинск,61.42915,55.15402,1788-05-20,1788-05-20,Мая 9
Челябинск,61.42915,55.15402,1788-12-17,1788-12-17,Декабря 6
Далматов,62.9362,56.26,1788-12-17,1788-12-17,6 числа Декабря
Далматов,62.9362,56.26,1788-12-24,1788-12-24,13 числа Декабря
Далматов,62.9362,56.26,1788-05-20,1788-05-20,Мая 9
Шадринск,63.6335,56.0852,1788-07-10,1788-07-10,Июня 29
Шадринск,63.6335,56.0852,1788-11-14,1788-11-14,Ноября 3
Шадринск,63.6335,56.0852,1788-03-16,1788-03-16,первое Воскресение
Покровское,66.79389,57.24028,1788-07-19,1788-07-19,Июля 8
Тобольск,68.258056,58.195278,1788-05-31,1788-05-31,20 Мая
Мангазея,87.95006,65.79479,1788-06-12,1788-07-11,Июне
Мангазея,87.95006,65.79479,1788-07-12,1788-08-11,Июле
Иркутск,104.29639,52.29778,1788-03-26,1788-05-12,с 15 Марта по 1 Мая
Иркутск,104.29639,52.29778,1788-11-26,1788-01-12,Ноября с 15 Генваря по 1
Иркутск,104.29639,52.29778,1788-01-26,1788-01-26,15 Генваря
Иркутск,104.29639,52.29778,1788-03-12,1788-03-12,Марта по 1
Кударинская,107.04306,50.19889,1788-12-05,1788-12-05,Ноября 24
Верхний Удинск,107.60627,51.82721,1788-02-26,1788-02-26,Февраля с 15
Верхний Удинск,107.60627,51.82721,1788-06-26,1788-06-26,Июня с 15
Олекминск,120.4203,60.3743,1788-07-12,1788-08-11,Июле
Олекминск,120.4203,60.3743,1788-08-12,1788-09-11,Августе
Вилюйское Верхнее,121.63339,63.74683,1788-09-12,1788-10-11,Сентябре
Вилюйское Верхнее,121.63339,63.74683,1788-10-12,1788-11-11,Октябре
Вилюйское Верхнее,121.63339,63.74683,1788-11-12,1788-12-11,Ноябре
Жиганск,123.37418,66.76601,1788-08-12,1788-09-11,Августе
Жиганск,123.37418,66.76601,1788-09-12,1788-10-11,Сентябре
Жиганск,123.37418,66.76601,1788-10-12,1788-11-11,Октябре
Жиганск,123.37418,66.76601,1788-11-12,1788-12-11,Ноябре
Зашиверск,142.61667,67.45,1788-12-12,1788-01-11,Декабре
Зашиверск,142.61667,67.45,1788-01-12,1788-02-11,Генваре
