name,lng,lat,beg,end,text
Горошин,32.73911,49.6548,1788-01-12,1788-01-12,Генваря 1
Горошин,32.73911,49.6548,1788-09-25,1788-09-25,Сентября 14
Горошин,32.73911,49.6548,1788-04-27,1788-05-03,Светлой седмицы
Куреньки,32.74462,50.21186,1788-02-13,1788-02-13,Февраля 2
Куреньки,32.74462,50.21186,1788-07-10,1788-07-10,Июня 29
Куреньки,32.74462,50.21186,1788-11-06,1788-11-06,Октября 26
Мглин,32.84753,53.05907,1788-08-20,1788-08-20,Августа 9
Мглин,32.84753,53.05907,1788-06-15,1788-06-15,Сошествия Святого Духа
Мглин,32.84753,53.05907,1788-03-24,1788-03-30,третией неделе
Понорница,32.85255,51.72622,1788-05-04,1788-05-04,Апреля 23
Понорница,32.85255,51.72622,1788-09-19,1788-09-19,Сентября 8
Сребное,32.91867,50.66384,1788-05-04,1788-05-04,Апреля 23
Сребное,32.91867,50.66384,1788-09-19,1788-09-19,Сентября 8
Чернухи,32.94196,50.26732,1788-08-26,1788-08-26,Августа 15
Чернухи,32.94196,50.26732,1788-12-17,1788-12-17,Декабря 6
Чернухи,32.94196,50.26732,1788-04-07,1788-04-13,пятой неделе
Чернухи,32.94196,50.26732,1788-06-22,1788-06-22,Троицы
Олонец,32.96976,60.98475,1788-01-17,1788-01-17,Генваря 6
Олонец,32.96976,60.98475,1788-09-19,1788-09-19,Сентября 8
Красной Колядин,33.03553,50.94677,1788-09-25,1788-09-25,Сентября 14
Красной Колядин,33.03553,50.94677,1788-12-17,1788-12-17,Декабря 6
Красной Колядин,33.03553,50.94677,1788-06-15,1788-06-15,Сошествия Святого Духа
Елна,33.18373,54.57864,1788-07-31,1788-07-31,Июля 20
Елна,33.18373,54.57864,1788-03-10,1788-03-16,первой неделе
Ромен,33.198877,50.94679,1788-12-02,1788-12-02,день Собора Архистратига Михаила
Ромен,33.198877,50.94679,1788-07-31,1788-07-31,Пророка Илии
Ромен,33.198877,50.94679,1788-06-05,1788-06-05,Вознесения
Ромен,33.198877,50.94679,1788-11-19,1788-11-19,Архистратига Михаила
Ромен,33.198877,50.94679,1788-03-03,1788-03-09,Масляной
Валдай,33.2525,57.97472,1788-11-03,1788-11-08,Октября от 23 по 28
Валдай,33.2525,57.97472,1788-01-05,1788-01-05,Рождества Христова
Валдай,33.2525,57.97472,1788-04-27,1788-05-03,Светлой неделе
Лохвица,33.26024,50.36776,1788-02-17,1788-02-23,всеедной неделе
Лохвица,33.26024,50.36776,1788-05-21,1788-05-21,Преполовения
Лохвица,33.26024,50.36776,1788-07-19,1788-07-19,Великомученика Прокопия
Лохвица,33.26024,50.36776,1788-10-01,1788-10-01,Великомученика Евстафия
Омельник,33.54568,49.20765,1788-07-31,1788-07-31,Июля 20
Омельник,33.54568,49.20765,1788-10-25,1788-10-25,Октября 14
Смелое,33.58499,50.92601,1788-01-12,1788-01-12,Генваря 1
Смелое,33.58499,50.92601,1788-05-20,1788-05-20,Мая 9
Смелое,33.58499,50.92601,1788-07-19,1788-07-19,Июля 8
Смелое,33.58499,50.92601,1788-10-25,1788-10-25,Октября 14
Миргород,33.60886,49.96854,1788-09-19,1788-09-19,Сентября 8
Миргород,33.60886,49.96854,1788-12-17,1788-12-17,Декабря 6
Миргород,33.60886,49.96854,1788-03-30,1788-03-30,средине великого поста
Миргород,33.60886,49.96854,1788-06-05,1788-06-05,Вознесения
Камышня,33.68269,50.18359,1788-11-06,1788-11-06,26 Октября
Камышня,33.68269,50.18359,1788-04-20,1788-04-20,неделю Ваий
Камышня,33.68269,50.18359,1788-07-04,1788-07-04,десятую после Светлого Воскресения пятницу
Трубчевск,33.7644,52.5798,1788-06-22,1788-06-22,Троицы
Остапье,33.76977,49.54487,1788-02-10,1788-02-10,Генваря 30
Остапье,33.76977,49.54487,1788-05-02,1788-05-02,Апреля 21
Остапье,33.76977,49.54487,1788-07-05,1788-07-05,Июня 24
Остапье,33.76977,49.54487,1788-10-01,1788-10-01,Сентября 20
Ямполь,33.78759,51.94765,1788-10-12,1788-10-12,Октября 1
Ямполь,33.78759,51.94765,1788-05-04,1788-05-04,Апреля 23
Устивица,33.80293,49.86076,1788-07-31,1788-07-31,Июля 20
Устивица,33.80293,49.86076,1788-11-06,1788-11-06,Октября 26
Голтва,33.85422,49.4202,1788-01-17,1788-01-17,Генваря 6
Голтва,33.85422,49.4202,1788-08-09,1788-08-09,Июля 29
Голтва,33.85422,49.4202,1788-08-17,1788-08-17,Августа 6
Голтва,33.85422,49.4202,1788-11-19,1788-11-19,Ноября 8
Путивль,33.87066,51.33745,1788-07-04,1788-07-04,десятую пятницу
Недригайлов,33.87626,50.83398,1788-09-19,1788-09-19,Сентября 8
Недригайлов,33.87626,50.83398,1788-11-09,1788-11-09,Октября 29
Недригайлов,33.87626,50.83398,1788-12-17,1788-12-17,Декабря 6
Недригайлов,33.87626,50.83398,1788-05-21,1788-05-21,Преполовения
Рашевка,33.88896,50.22562,1788-05-20,1788-05-20,9 Мая
Рашевка,33.88896,50.22562,1788-09-12,1788-09-12,Сентября 1
Рашевка,33.88896,50.22562,1788-12-17,1788-12-17,Николая
Боровичи,33.91667,58.38333,1788-02-05,1788-02-05,Генваря 25
Боровичи,33.91667,58.38333,1788-12-02,1788-12-02,Ноября 21
Боровичи,33.91667,58.38333,1788-06-22,1788-06-22,Троицы
Гадячь,33.99099,50.37112,1788-01-17,1788-01-17,Генваря 6
Гадячь,33.99099,50.37112,1788-05-04,1788-05-04,Апреля 23
Гадячь,33.99099,50.37112,1788-07-10,1788-07-10,Июня 29
Гадячь,33.99099,50.37112,1788-10-25,1788-10-25,Октября 14
Середина Буда,34.03639,52.18903,1788-09-19,1788-09-19,8 Сентября
Лютенка,34.0367,50.21084,1788-11-12,1788-11-12,1 Ноября
Лютенка,34.0367,50.21084,1788-07-31,1788-07-31,Июля 20
Лютенка,34.0367,50.21084,1788-05-21,1788-05-21,Преполовения
Белополье,34.31287,51.15016,1788-01-17,1788-01-17,Генваря 6
Белополье,34.31287,51.15016,1788-07-05,1788-07-05,Июня 24
Белополье,34.31287,51.15016,1788-09-25,1788-09-25,Сентября 14
Ржев Володимеров,34.32817,56.26241,1788-07-10,1788-07-10,Июня 29
Ржев Володимеров,34.32817,56.26241,1788-03-17,1788-03-23,неделю православия
Зинков,34.36376,50.20806,1788-08-26,1788-08-26,15 Августа
Зинков,34.36376,50.20806,1788-07-06,1788-07-06,Июня 25
Зинков,34.36376,50.20806,1788-10-12,1788-10-12,Октября 1
Зинков,34.36376,50.20806,1788-12-17,1788-12-17,Декабря 6
Зинков,34.36376,50.20806,1788-07-05,1788-07-05,Иоанна Крестителя
Брянск,34.37167,53.25209,1788-07-04,1788-07-04,десятую пятницу
Лебедин,34.4849,50.58518,1788-01-12,1788-01-12,Генваря 1
Лебедин,34.4849,50.58518,1788-10-01,1788-10-01,Сентября 20
Лебедин,34.4849,50.58518,1788-07-04,1788-07-04,десятую пятницу
Чупаховка,34.58107,50.3766,1788-05-04,1788-05-04,Апреля 23
Чупаховка,34.58107,50.3766,1788-09-19,1788-09-19,Сентября 8
Чупаховка,34.58107,50.3766,1788-12-02,1788-12-02,Ноября 21
Зубцов,34.58935,56.17534,1788-12-17,1788-12-17,6 Декабря
